"dailyTxns","dailyVolumeToken0","dailyVolumeToken1","dailyVolumeUSD","date","pairAddress","reserve0","reserve1","reserveUSD","token0.decimals","token0.id","token0.name","token0.symbol","token1.decimals","token1.id","token1.name","token1.symbol","totalSupply"
"32","578.053255039886068464","19833.904448210512049941","19920.4984279801847169896263335539",1618185600,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2102.88946181182385826","78083.221591314519905509","155786.7648882969898585108965868765",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"11807.460342886631690503"
"13","134.196021988438191066","4012.115943146089064814","4006.977971100767286499034151640969",1618099200,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2330.242007552598184285","70199.592231577313583784","140571.1477375014168360575599096841",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"11789.852584002584018094"
"15","89.813405438109945961","2690.376558855118023909","2691.720446151106897764563602334932",1618012800,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2389.964428523919085461","70117.525284712207937375","140472.8816660604620090836602052143",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"11934.024763389355872443"
"11","70.253940546448027474","2122.656224235837203008","2114.695559490311076833217151882561",1617926400,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2333.105589500479553772","69069.25061718525183076","137670.383581282701367913750947174",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"11703.413990720294194451"
"14","130.232147487723396426","3858.423380488384443882","3862.042314825160310230448428492163",1617840000,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2316.202981250974114068","70659.690057297541550518","140928.9723875579700133452071545058",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"11794.970291326880741349"
"18","300.064275736406157397","8772.709249723747215259","8731.426100821113528164163365383552",1617753600,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2415.961242720482371083","68819.004516170920176475","138306.7616337522218651252042830327",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"11889.337425207252543264"
"7","122.063394142458704978","3784.826724765595224913","3800.701496982840717816115414870068",1617667200,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2314.126463422225655634","71675.41282283636213596","143718.1002836411030785408171354048",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"11877.326069292610798708"
"10","88.480406577606183545","2695.945405086031950703","2694.013343928121914635116513879156",1617580800,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2325.139240651249268818","71324.702294146590843529","142799.8489384330378054270615592348",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"11877.326069292610798708"
"15","144.950818433374525054","4437.672405305153907294","4436.388964323950703377587671175701",1617494400,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2300.546181873324942563","72078.990460373422794232","143287.6382239021063218158076967935",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"11877.326069292610798708"
"9","173.531963021542017335","5374.539349873640261236","5372.454047155681214064939202129778",1617408000,"0xf00e80f0de9aea0b33aa229a4014572777e422ee","2353.955617269931320767","70430.431108371412970654","140259.2326572600723389133633241631",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"11877.326069292610798708"
