"dailyVolumeETH","dailyVolumeUSD","dailyVolumeUntracked","date","totalLiquidityETH","totalLiquidityUSD","totalVolumeETH","totalVolumeUSD","txCount"
"624329.9442005605662638100711012681","237766185.3604382537407485847679073","252150462.1619377462306107509052603",1602547200,"7556111.470188568189765197763369211","2876640257.381178439778206281216789","0","0","12588961"
"797804.1762336593205162306158521081","302629137.3316576043226213526059032","312636211.8524406308523874120559061",1602460800,"7549620.567720723295658704380771247","2918710789.637888517292733445909553","0","0","12427373"
"616219.5667575676612486860907325291","229371135.65155384086887242175343","239719557.669717738831228592755091",1602374400,"7755799.363106120312856054567284708","2890515408.17940178326212402296091","0","0","12257921"
"738384.7042816636228791925594935519","274960992.096123437886297174089734","288985110.9156555128845190196123219",1602288000,"7551035.181776155794581811420671932","2797624871.976991150282785451493508","0","0","12102924"
"866073.1274474968116300297177305951","309155289.8887669689780859661549479","319158615.1589613840974731832466166",1602201600,"7371859.248442946642563138070179688","2686157505.634467545138283163163553","0","0","11940745"
"1040769.141790533882943433692079565","357750463.9903555154493520254754806","365287557.6914861404622848176570677",1602115200,"7341610.178982322203939189262697026","2570305814.970595113724006783827721","0","0","11775953"
"1082390.761457450805521139118073382","365962377.5793868476571128805790482","372571438.3222151519735991211018997",1602028800,"7158074.759321562996909097554252969","2438033948.71922487683872933638957","0","0","11605761"
"1331580.122330700072677657728053566","459929883.7340279680485014913110321","470173393.7940018130533817900461691",1601942400,"7147152.693380795245179914682171681","2417685377.964154124680280464691067","0","0","11430758"
"882660.3814398240487165082236118653","309952185.5007790063768437187131172","319806842.3524863162114660601318201",1601856000,"7106228.948105352328352684222673575","2500653270.865308166732985433983134","0","0","11223423"
"1015522.7938825890710602187286277","352513644.7222396831052328203921652","362668427.9088147125377100462409074",1601769600,"7054282.811254632854668806133911531","2476342949.459460771728661254702307","0","0","11021894"
"900193.3580606917708449356781662379","311822211.80077968586625706496586","320816146.1217173062074540941125181",1601683200,"7059230.876753115155365586203711605","2445869198.430425277229087687405428","0","0","10824871"
"1385388.98784195886062507586616279","475127184.3651753810389743903755837","481111326.6163064364741715122184694",1601596800,"6972898.267591233431449742405214875","2400711028.134474066287247071996872","0","0","10653807"
"1120835.226999504634916745019472587","399975401.4698435096720611874064526","406177061.2681537115991240197144657",1601510400,"6904874.598774908798386945775521314","2423634691.020407230553907337791541","0","0","10483915"
"850084.9253099996160070065433633972","301735431.2700525745061346645707197","308853671.4251965365281179003949766",1601424000,"6707363.016707648617142503368045627","2405999452.808358306816906280182229","0","0","10317729"
"1121370.22983346563806071246152348","396094062.5915721449612263383136454","404172234.6072079210936711024531014",1601337600,"6491043.44536540212201554113861247","2324761548.781288451605461897546047","0","0","10156956"
"908945.5030420870047961997583568124","326737199.2142899886737501015290921","339491355.9316533879215819152812027",1601251200,"6465196.727956135388595292149848734","2282680125.427765412485548687212675","0","0","9987780"
"924728.9668018483822651477998710042","327876972.3464419645429545930583769","339522255.93061596629893248630454",1601164800,"6293583.926658200628301629317629832","2233684120.894239691133120784140485","0","0","9816741"
"754446.535178384381037931258009211","265113708.4694135018316776862267997","277072119.1855317771190445771450909",1601078400,"6213233.359154263310815983213081881","2194036485.123743086134482494918486","0","0","9650740"
"808968.573242197690100456988728536","280368541.5799620678392818934921644","294217287.9094087256031659183905876",1600992000,"6076252.932813932362896082224772201","2135661102.95184602251376099333205","0","0","9486492"
"915151.4419513927052250514640537944","306072032.9480772574468681417584637","316373450.4336890626409052468322766",1600905600,"5992341.36799639309986758555258625","2091846238.596405922491899628481314","0","0","9317383"
"1177289.244127663513861623088114803","392858429.9609167274970814574732969","401797283.0928199001175723862434738",1600819200,"5989534.498063649395560495532281873","1909998100.854157953574990245254177","0","0","9156782"
"1081366.507517369596860511138666008","368849445.6317334628524266064883258","379943032.6950287377254323543698518",1600732800,"5829090.548880352064385962376595314","1996358337.138254257651923965388048","0","0","8976142"
"1414105.728966798406706806347716675","496872133.3791695186693408036041722","512728578.264587968277810072964078",1600646400,"5793074.235892189945927345391534632","1975958525.262068451748360933149125","0","0","8791356"
"1122639.514441581805997360055354394","419970785.4048166701764936721491495","434895914.9579858209186066184276895",1600560000,"5857980.00257594580785216355704535","2161530106.911120413617928967497011","0","0","8623821"
"1343694.360948508158639300129577224","512843403.9025511296111484702236551","540126948.5720360729399820072483043",1600473600,"5584008.117845339252188357089961652","2138619924.625706028425048812590329","0","0","8448501"
"1718594.827311233012576533383761625","655001929.1275855502841862175999303","667158698.0299023742398581661279994",1600387200,"5027867.784227541278639440953499806","1912700387.232634291367639953046769","0","0","8264711"
"1601651.224230752286369582323472959","611347270.0975232380189926242132214","618014870.7189607689905146346118937",1600300800,"3618004.480975655086999380125457555","1401507881.048308679902020971768284","0","0","8082192"
"1111179.689217991207919552983804704","402916865.6036085263936206520096482","414111526.0056174801886393614852255",1600214400,"2513472.325518527827816763984962861","919401114.4457503959222831921556114","0","0","7923432"
"1191791.14934800743092121241696842","440203359.6465963389468612585201716","454019494.1459744236538941762180197",1600128000,"2641741.998063361505879507627234255","954323973.9905361428055018787762261","0","0","7765508"
"1379466.850961137223521915806376025","508259163.4445177433534841613769111","527854902.5142429868238953851112362",1600041600,"2996165.683000507681168297315419046","1121542181.336520900820425731623716","0","0","7599956"
"1178366.570385721592122301720363818","435717109.1320001619068826602897045","467074384.6744158918210507093464653",1599955200,"2897738.690184242069621234773686747","1056590096.578723325043355102571187","0","0","7438656"
"916291.8713222532701786939881117063","340081394.3854045523962059213863628","351212150.2044545118498337921033566",1599868800,"1834455.942180919340105599579027055","704200531.1145654340647522710962665","0","0","7290976"
"952602.9828924077392602666716912847","344813771.1692908236894687133790641","359687953.8908160230174474765383719",1599782400,"2039628.35053436863906088795059113","756439439.3327045348094302911094297","0","0","7139577"
"1227685.958701468456375400583189127","446191137.9423731625513251207725787","459266346.0425322590864937127035082",1599696000,"2960676.18204049275240938013629925","1072574426.837322290049913426828868","0","0","7002659"
