"createdAtBlockNumber","createdAtTimestamp","id","liquidityProviderCount","reserve0","reserve1","reserveETH","reserveUSD","token0.decimals","token0.id","token0.name","token0.symbol","token0Price","token1.decimals","token1.id","token1.name","token1.symbol","token1Price","totalSupply","trackedReserveETH","txCount","untrackedVolumeUSD","volumeToken0","volumeToken1","volumeUSD"
"11166883","1604177027","0xca0b203e716fa2c7e864d87f319191b80a06fff6","2","0.001337178382213021","0.000000000762234294","0.00001224278196777821728818268340659672","0.02658702441668939888747202605669658",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,"1754287.87806944435381176906217762",18,0xd3d2e2692501a5c9ca623199d38826e513033a17,Uniswap V2,UNI-V2,"0.000000570031870197084326613610254776346","0.000000005013491","0.00002448556393555643457636536681319343","5","2.001783583767997899375817173821874","0.201357032549281294","0.000000000757220993","0"
"11162657","1604120432","0xb88501c392a42855ac99f2f290886def26edc5b1","6","5.152588959093876961","150.499643355829865855","0.08683276837234021863263199439896422","289.5459345993007882010704352677512",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,"0.03423655262033737206119289036866691",18,0x3845badade8e6dff049820680d1f14bd3903a5d0,SAND,SAND,"29.20854827556367010948840797842394","27.272727272727272727","0.08662851629071275083620498410360941","22","17785.85732480937532733208631139275","390.936548043245355279","31262.106765338232190461","2778.433160909839995597134104365508"
"11160564","1604093291","0x9393fd6c9c36aeff2eb87a100d5cd9bd00d38c30","10","29.718361353753484613","503.918726196485012688","0.4522610498186286014679313420486287","1507.261983207437946670707027571814",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,"0.05897451277126358809469933421648751",18,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,Matic Token,MATIC,"16.95647751900153590499858835107747","120.875405537234776149","0.4953453376142005835805242740055635","155","14443.61691817639411705639936124735","652.005962928900397982","98084.679575524945254496","8733.792916759349531661239056890521"
"11159903","1604084124","0xc3dfcf88729b1209e4504ffbbefef81afa8e3b88","1","0.000000000000001013","0.000000000000000989","0.00000000000000001660106347071299986573650129673836","0.00000000000002952074534650128581015050187274418",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,"1.02426693629929221435793731041456",18,0x97102231395e3997bbb8ad2a8bba1e3a65bce44a,YFIN STAKE v2,YFINv2,"0.9763079960513326752221125370187562","0","0.00000000000000003320212694142599973147300259347672","5","7.972147544070687675050909493907478","3.361325371922892625","3.293932181660326058","0"
"11153439","1603997709","0x4ea5bd1694d44d43fbfbfd5ee81d30ec296c04c5","1","0.000000000488546618","0","0.000000000003159485676004924417997067826086397","0.000000001230675322361206679748009571245784",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,"0",8,0xf5238462e7235c7b62811567e63dd17d12c2eaa0,CACHE Gold,CGT,"0","0","0.000000000006318971352009848835994135652172794","2","0","0","0","0"
"11142824","1603857513","0x7f50ea7a29dff2c5d60c899d47f32dbdcea9e2e2","1","0.000000000000000004","0.000000000000276675","0.00000000000000000005378725609718453526630738525333562","0.00000000000000002093659023964073552667679975289041",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,"0.00001445739586157043462546308846119093",18,0x5a50b3d55e9a1089029824a26caaa8f2abfc4bb0,xunii.finance,XUNII,"69168.75","0","0.00000000000000000005220963051799954574803508591915674","3","27.99666119047406613050376823030822","19.650795326012156201","26188.383385390194953567","0"
"11141393","1603838575","0xfcf4923ffd39b6d771f3b42f7ec07d45795daee6","1","0.00000000000000001","0.00000000000010989","0.0000000000000000001641663063047482102060650899025085","0.0000000000000004405571359990880697898894976798602",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,"0.000091000091000091000091000091000091",18,0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3,Pundi X Token,NPXS,"10989","0","0.0000000000000000001947047144349415812901495908643783","4","33.99891022309023391638805310573567","19.980295643194189171","80504.049945406451455143","0"
"11140733","1603829767","0x5fd8e3112676f69a3613c19597778e6f7a902d7c","27","468.660895041153165338","1866.4347647686354084","6.430920499136768015040356323216814","21587.64852951589909468327660873249",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,"0.2510995315173786456439422562148706",18,0x30bcd71b8d21fe830e493b30e90befba29de9114,Penguin Party Fish,🐟,"3.98248453096293336793387684449316","847.120975345079152532","6.248005871931785328488987028631149","1194","1264315.654420786316608069097086759","40579.003192148231516462","66821.958949910840652352","966104.1464999339057701148306403127"
"11135274","1603758085","0x2c57245b40b7fb71d11af79e34a899ab30055dd7","1","0.000000000007554876","0.0001","0.00000000000004919080407302110239409757252162131","0.00000000002533312636276426518252549448828477",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,"0.00000007554876",4,0x2859021ee7f2cb10162e67f33af2d22764b31aff,Silent Notary Token,SNTR,"13236484.62264635448682413847692537","0","0.00000000000009838160814604220478819514504324262","8","27.32150906109968633312255417355857","18.627544360823250898","21719728.7691","0"
"11134885","1603752909","0x7be1254324486bb93203022d8d3e777ba8e7c2f5","1","0.00000000000000515","0.000000000000000195","0.00000000000000007161782250556763121239281126296243","0.00000000000002806397130426187301052092166048429",18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,"26.41025641025641025641025641025641",18,0x3fc004ed2551dfcb129cb6c106d225110fcdd0b4,Pandora DAO,DORA,"0.03786407766990291262135922330097087","0","0.00000000000000007099138495304486690819158759301756","6","111.0383083990532919018143033673115","41.924921458975381528","1.190668681036850541","0"
