"hourStartUnix","hourlyTxns","hourlyVolumeToken0","hourlyVolumeToken1","hourlyVolumeUSD","pair.id","pair.token0.decimals","pair.token0.id","pair.token0.name","pair.token0.symbol","pair.token1.decimals","pair.token1.id","pair.token1.name","pair.token1.symbol","reserve0","reserve1","reserveUSD"
1602770400,"2","2.206399726540804328","6.697281302754576846","6.738024478478661904804525619735036",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6758.979572510251377842","20512.700629376672106737","41272.39331130995819052020418153734"
1602766800,"2","80","240.665308866403965907","243.4116201739288559082772060901822",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6758.979572510251377842","20512.680510679426683583","41386.85232970052708333951801624659"
1602763200,"4","65.074230955842994264","191.885853744286806282","193.7487897701662687835722086127385",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6838.979572510251377842","20272.015201813022717676","41083.18031619685817470457257241091"
1602759600,"3","19.268254686056901842","57.039023293863861313","57.46566754129083798656292376746709",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6841.278289793970571019","20248.194057768621562632","40809.8766827591115325926722484944"
1602756000,"3","20.11722722410467986","59.210739608008516728","59.51367801309989863936617103448219",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6860.546544480027472861","20191.155034474757701319","40590.42083685023232370801087069255"
1602752400,"3","182.857125833602243809","536.627182975397007335","539.1246554967177431036233383204415",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6880.663771704132152721","20131.944294866749184591","40494.08594084713421564645008775491"
1602748800,"4","77.290878312974276389","234.693770060594610796","235.8145522187995336924297932680715",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6783.806645870529908912","20417.761431975396751224","41166.124221601394207275513242556"
1602745200,"1","1","3.068461094224907324","3.086059611565148203180946600453826",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6728.110055137533072485","20586.077571121582434642","41467.59694205242645081862418967902"
1602741600,"2","8.79847","26.95842224049287904","27.18625036920456298847421339541065",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6729.110055137533072485","20583.009110027357527318","41567.80519833564968983526646819013"
1602738000,"3","46.045820109464737236","140.527813751158523512","141.9595393994039246165951705222473",0xf00e80f0de9aea0b33aa229a4014572777e422ee,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,"6737.908525137533072485","20556.050687786864648278","41483.33879576054871826849131197051"
